At time 0, Job1 arrives.
At time 662, Job30 arrives at Disk.
At time 663, Job227 arrives.
At time 663, Job20 finished I/O at Disk 2.
At time 664, Job228 arrives.
At time 666, Job230 arrives.
At time 669, Job236 arrives.
At time 669, Job239 arrives.
At time 670, Job241 arrives.
At time 671, Job246 arrives.
At time 674, Job245 arrives.
At time 674, Job247 arrives.
At time 675, Job243 arrives.
At time 676, Job232 arrives.
At time 676, Job33 finishes at CPU.
At time 677, Job238 arrives.
At time 677, Job251 arrives.
At time 679, Job249 arrives.
At time 681, Job248 arrives.
At time 683, Job250 arrives.
At time 684, Job253 arrives.
At time 685, Job242 arrives.
At time 686, Job240 arrives.
At time 688, Job29 finishes at CPU.
At time 689, Job252 arrives.
At time 689, Job33 arrives at Disk.
At time 690, Job261 arrives.
At time 690, Job263 arrives.
At time 691, Job244 arrives.
At time 692, Job255 arrives.
At time 692, Job259 arrives.
At time 693, Job256 arrives.
At time 695, Job262 arrives.
At time 696, Job254 arrives.
At time 698, Job29 arrives at Disk.
At time 702, Job20 arrives.
At time 702, Job260 arrives.
At time 703, Job264 arrives.
At time 703, Job31 finishes at CPU.
At time 703, Job31 exits.
At time 707, Job274 arrives.
At time 709, Job265 arrives.
At time 710, Job258 arrives.
At time 711, Job268 arrives.
At time 712, Job257 arrives.
At time 712, Job273 arrives.
At time 715, Job279 arrives.
At time 719, Job269 arrives.
At time 719, Job276 arrives.
At time 721, Job266 arrives.
At time 722, Job267 arrives.
At time 722, Job275 arrives.
At time 723, Job285 arrives.
At time 724, Job272 arrives.
At time 724, Job277 arrives.
At time 725, Job270 arrives.
At time 725, Job23 finished I/O at Disk 2.
At time 727, Job32 finishes at CPU.
At time 728, Job271 arrives.
At time 728, Job281 arrives.
At time 732, Job283 arrives.
At time 733, Job284 arrives.
At time 734, Job289 arrives.
At time 735, Job23 arrives.
At time 737, Job287 arrives.
At time 737, Job290 arrives.
At time 739, Job280 arrives.
At time 740, Job278 arrives.
At time 741, Job291 arrives.
At time 741, Job295 arrives.
At time 741, Job39 finishes at CPU.
At time 742, Job286 arrives.
At time 742, Job288 arrives.
At time 742, Job294 arrives.
At time 743, Job282 arrives.
At time 743, Job293 arrives.
At time 743, Job298 arrives.
At time 747, Job304 arrives.
At time 749, Job297 arrives.
At time 750, Job292 arrives.
At time 754, Job32 arrives at Disk.
At time 755, Job36 finishes at CPU.
At time 755, Job36 exits.
At time 757, Job309 arrives.
At time 760, Job307 arrives.
At time 760, Job310 arrives.
At time 760, Job316 arrives.
At time 760, Job317 arrives.
At time 762, Job296 arrives.
At time 763, Job305 arrives.
At time 764, Job302 arrives.
At time 765, Job299 arrives.
At time 765, Job306 arrives.
At time 766, Job313 arrives.
At time 767, Job311 arrives.
At time 769, Job300 arrives.
At time 771, Job303 arrives.
At time 771, Job312 arrives.
At time 772, Job301 arrives.
At time 772, Job39 arrives at Disk.
At time 774, Job308 arrives.
At time 774, Job314 arrives.
At time 774, Job40 finishes at CPU.
At time 777, Job324 arrives.
At time 781, Job319 arrives.
At time 781, Job328 arrives.
At time 782, Job320 arrives.
At time 782, Job321 arrives.
At time 783, Job330 arrives.
At time 784, Job335 arrives.
At time 785, Job315 arrives.
At time 786, Job326 arrives.
At time 786, Job329 arrives.
At time 788, Job323 arrives.
At time 788, Job325 arrives.
At time 788, Job25 finished I/O at Disk 2.
At time 789, Job322 arrives.
At time 791, Job334 arrives.
At time 793, Job318 arrives.
At time 794, Job37 finishes at CPU.
At time 796, Job338 arrives.
At time 796, Job341 arrives.
At time 798, Job327 arrives.
At time 799, Job343 arrives.
At time 800, Job332 arrives.
At time 800, Job40 arrives at Disk.
At time 800, Job25 arrives.
At time 800, Job348 arrives.
At time 801, Job331 arrives.
At time 802, Job336 arrives.
At time 806, Job339 arrives.
At time 807, Job347 arrives.
At time 807, Job350 arrives.
At time 807, Job37 arrives at Disk.
At time 807, Job7 finishes at CPU.
At time 810, Job333 arrives.
At time 810, Job356 arrives.
At time 811, Job342 arrives.
At time 811, Job346 arrives.
At time 814, Job24 finished I/O at Disk 2.
At time 815, Job354 arrives.
At time 816, Job345 arrives.
At time 816, Job357 arrives.
At time 818, Job337 arrives.
At time 818, Job352 arrives.
At time 820, Job340 arrives.
At time 822, Job361 arrives.
At time 824, Job349 arrives.
At time 825, Job344 arrives.
At time 825, Job7 arrives at Disk.
At time 826, Job35 finishes at CPU.
At time 826, Job367 arrives.
At time 829, Job370 arrives.
At time 830, Job364 arrives.
At time 832, Job351 arrives.
At time 832, Job362 arrives.
At time 832, Job24 arrives.
At time 834, Job358 arrives.
At time 834, Job365 arrives.
At time 835, Job366 arrives.
At time 835, Job373 arrives.
At time 836, Job353 arrives.
At time 836, Job360 arrives.
